Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
64,Harbor F 2,467.875000,,0.000000,DTCS,88.5,88.5,411,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
65,Harbor F 3,467.900000,,0.000000,DTCS,88.5,88.5,346,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
66,Harbor F 4,467.925000,,0.000000,DTCS,88.5,88.5,343,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
67,Harris Teete,467.850000,,0.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
68,Hobby Lobby,469.262500,,0.000000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
69,Hollister,466.187500,,0.000000,DTCS,88.5,88.5,506,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
70,Home Depot 1,467.762500,,0.000000,DTCS,88.5,88.5,065,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
71,Home Depot 2,467.850000,,0.000000,DTCS,88.5,88.5,331,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
72,Home Depot 3,467.837500,,0.000000,DTCS,88.5,88.5,263,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
73,Home Depot 4,467.875000,,0.000000,DTCS,88.5,88.5,413,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
74,Home Depot 5,467.900000,,0.000000,DTCS,88.5,88.5,466,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
75,Home Goods,469.487500,,0.000000,Tone,210.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
76,JC Penny,451.237500,,0.000000,DTCS,88.5,88.5,365,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
77,JC Penny Q,461.937500,,0.000000,DTCS,88.5,88.5,732,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
78,JC Penny X,467.225000,,0.000000,DTCS,88.5,88.5,365,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
79,JC Penny Y,466.962500,,0.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
80,JC Penny Z,461.712500,,0.000000,DTCS,88.5,88.5,365,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
81,J Crew X,467.900000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
82,J Crew Y,467.925000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
83,Kohl's X,467.850000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
84,Kohl's Z,466.337500,,0.000000,DTCS,88.5,88.5,612,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
85,Kroger,467.850000,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
86,Loft,466.037500,,0.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
87,Macy's,462.912500,,0.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
88,Macy's,467.875000,,0.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
89,Marshall's 1,461.237500,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
90,Marshall's 2,467.875000,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
91,Meijer,464.625000,,0.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
92,Menards 1,154.570000,,0.000000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
93,Menards 2,154.600000,,0.000000,Tone,179.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
94,Menards W,464.487500,,0.000000,DTCS,88.5,88.5,031,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
95,Menards X,469.562500,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
96,Menards Y,467.887500,,0.000000,DTCS,88.5,88.5,065,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
97,Menards Z,466.037500,,0.000000,DTCS,88.5,88.5,025,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
98,Micheal's,467.850000,,0.000000,DTCS,88.5,88.5,532,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
99,Neiman Marcu,464.575000,,0.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
100,New Balance,457.525000,,0.000000,DTCS,88.5,88.5,071,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
101,Nike 1,466.025000,,0.000000,DTCS,88.5,88.5,371,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
102,Nike 2,467.375000,,0.000000,DTCS,88.5,88.5,223,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
103,Nike 3,468.262500,,0.000000,DTCS,88.5,88.5,343,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
104,Nordstrom A,463.562500,,0.000000,DTCS,88.5,88.5,506,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
105,Nordstrom B,463.562500,,0.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
106,Office Dep X,463.837500,,0.000000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
107,Office Dep Y,467.900000,,0.000000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
108,Office Max,464.550000,,0.000000,Tone,79.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
109,Old Navy A,154.600000,,0.000000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
110,Old Navy B,154.600000,,0.000000,DTCS,88.5,88.5,331,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
111,Old Navy X,151.625000,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
112,Old Navy Y,151.775000,,0.000000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
113,Old Navy Z,151.805000,,0.000000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
114,Old Nv UHF Q,467.850000,,0.000000,DTCS,88.5,88.5,047,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
115,Old Nv UHF R,467.925000,,0.000000,DTCS,88.5,88.5,311,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
116,Old Nv VHF,151.955000,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
117,Olive Garden,464.550000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
118,Pet Smart,464.500000,,0.000000,Tone,162.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
119,Pott. Barn A,151.700000,,0.000000,Tone,79.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
120,Pott. Barn D,151.700000,,0.000000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
121,Pott. Barn E,151.625000,,0.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
122,Pott. Barn K,461.312500,,0.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
123,Ross,467.925000,,0.000000,DTCS,88.5,88.5,271,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
